curve_ID,species,standardisedtraitname,temp,z,zLwr,zUpr
5,Antestiopsis thunbergii,z,18.01801801801802,0.02003345939957815,0.026188731973850576,0.017637970431350035
5,Antestiopsis thunbergii,z,18.063063063063062,0.0196093271894649,0.025617848402878295,0.017009179568818165
5,Antestiopsis thunbergii,z,18.10810810810811,0.01920534374988025,0.025149357923446494,0.016421530484126427
5,Antestiopsis thunbergii,z,18.153153153153152,0.01882067379882552,0.024638835258908684,0.015886683683327397
5,Antestiopsis thunbergii,z,18.1981981981982,0.018454517549361525,0.02413787095098796,0.015393160699040329
5,Antestiopsis thunbergii,z,18.243243243243242,0.018106109194434946,0.023655276801780874,0.014945676982351237
5,Antestiopsis thunbergii,z,18.28828828828829,0.017774715456823742,0.023192787714638827,0.014528473954980354
5,Antestiopsis thunbergii,z,18.333333333333332,0.017459634201401314,0.022749656429741926,0.014142912562951812
5,Antestiopsis thunbergii,z,18.37837837837838,0.01716019310700746,0.02232516408644567,0.013820552429149419
5,Antestiopsis thunbergii,z,18.423423423423422,0.016875748395362638,0.021918654346786748,0.01352334464981036
5,Antestiopsis thunbergii,z,18.46846846846847,0.01660568361454575,0.021530667106399753,0.013257555780040184
5,Antestiopsis thunbergii,z,18.513513513513512,0.016349408474693454,0.02115721963718198,0.012999850784502403
5,Antestiopsis thunbergii,z,18.55855855855856,0.01610635773364869,0.020801241016905822,0.012756600234856362
5,Antestiopsis thunbergii,z,18.603603603603602,0.01587599013041439,0.020460665865275576,0.012542048787110032
5,Antestiopsis thunbergii,z,18.64864864864865,0.015657787364338437,0.0201349253490488,0.01238420536528249
5,Antestiopsis thunbergii,z,18.693693693693692,0.015451253118063559,0.01982347221757372,0.012234650228361666
5,Antestiopsis thunbergii,z,18.73873873873874,0.015255912122348177,0.01952577997951421,0.01209901535509014
5,Antestiopsis thunbergii,z,18.783783783783782,0.015071309260953975,0.019241342111222148,0.012000072924226833
5,Antestiopsis thunbergii,z,18.82882882882883,0.01489700871387412,0.018969671295534236,0.011889090547792025
5,Antestiopsis thunbergii,z,18.873873873873872,0.01473259313724472,0.018710298689809002,0.011807981553333133
5,Antestiopsis thunbergii,z,18.91891891891892,0.014577662878363875,0.018462773222080203,0.01174447638629322
5,Antestiopsis thunbergii,z,18.963963963963963,0.014431835224299699,0.018226660914230107,0.011697117695765187
5,Antestiopsis thunbergii,z,19.00900900900901,0.014294743682646736,0.01800154423114702,0.01166372603884546
5,Antestiopsis thunbergii,z,19.054054054054053,0.014166037293040303,0.01778702145485268,0.011636549752975192
5,Antestiopsis thunbergii,z,19.0990990990991,0.014045379968110342,0.017590602521877368,0.01160657958482218
5,Antestiopsis thunbergii,z,19.144144144144143,0.01393244986260221,0.01746975813585849,0.011581655154391014
5,Antestiopsis thunbergii,z,19.18918918918919,0.013826938769458024,0.017304209083160698,0.011572214567829017
5,Antestiopsis thunbergii,z,19.234234234234233,0.013728551541693954,0.017174511251110386,0.011575555106349396
5,Antestiopsis thunbergii,z,19.27927927927928,0.01363700553896869,0.016990502220003305,0.011588872393215247
5,Antestiopsis thunbergii,z,19.324324324324323,0.013552030097777938,0.016897705373218646,0.01159111083209925
5,Antestiopsis thunbergii,z,19.36936936936937,0.01347336602426208,0.01681586700479005,0.011594728309132763
5,Antestiopsis thunbergii,z,19.414414414414413,0.013400765108655345,0.01666421303584679,0.011607724816189248
5,Antestiopsis thunbergii,z,19.45945945945946,0.013333989660445052,0.016530404219787596,0.011627492156556478
5,Antestiopsis thunbergii,z,19.504504504504503,0.013272812063354886,0.016384061720004284,0.011650527279828602
5,Antestiopsis thunbergii,z,19.54954954954955,0.013217014349297986,0.0162737501543385,0.011676871575737166
